lemma,pos,genus,genus 1,genus 2,genus 3,genus 4,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
1. Timotheusbrief,"Substantiv,Wortverbindung,adjektivische Deklination",m,,,,,,,,,,,1. Timotheusbrief,1. Timotheusbrief,1. Timotheusbrief,,,,,,,,,,,,,,,,1. Timotheusbriefes,1. Timotheusbriefes,1. Timotheusbriefes,,,,,,,,,,,,,,,,1. Timotheusbrief,1. Timotheusbrief,1. Timotheusbrief,,,,,,,,,,,,,,,,1. Timotheusbrief,1. Timotheusbrief,1. Timotheusbrief,,,,,,,,,
1. Weltkrieg,"Substantiv,Wortverbindung",m,,,,,1. Weltkrieg,,,,,,,,,,,,,,,,,,1. Weltkrieges,1. Weltkriegs,,,,,,,,,,,,,,,,,1. Weltkrieg,1. Weltkriege,,,,,,,,,,,,,,,,,1. Weltkrieg,,,,,,,,,,,,,,,,,
10-Cent-Münze,Substantiv,f,,,,,10-Cent-Münze,,,,,,,,,10-Cent-Münzen,,,,,,,,,10-Cent-Münze,,,,,,,,,10-Cent-Münzen,,,,,,,,,10-Cent-Münze,,,,,,,,,10-Cent-Münzen,,,,,,,,,10-Cent-Münze,,,,,,,,,10-Cent-Münzen,,,,,,,,
10-Cent-Stück,Substantiv,n,,,,,10-Cent-Stück,,,,,,,,,10-Cent-Stücke,,,,,,,,,10-Cent-Stückes,10-Cent-Stücks,,,,,,,,10-Cent-Stücke,,,,,,,,,10-Cent-Stück,10-Cent-Stücke,,,,,,,,10-Cent-Stücken,,,,,,,,,10-Cent-Stück,,,,,,,,,10-Cent-Stücke,,,,,,,,
10-Euro-Schein,Substantiv,m,,,,,10-Euro-Schein,,,,,,,,,10-Euro-Scheine,,,,,,,,,10-Euro-Scheines,10-Euro-Scheins,,,,,,,,10-Euro-Scheine,,,,,,,,,10-Euro-Schein,10-Euro-Scheine,,,,,,,,10-Euro-Scheinen,,,,,,,,,10-Euro-Schein,,,,,,,,,10-Euro-Scheine,,,,,,,,
10-Franken-Note,Substantiv,f,,,,,10-Franken-Note,,,,,,,,,10-Franken-Noten,,,,,,,,,10-Franken-Note,,,,,,,,,10-Franken-Noten,,,,,,,,,10-Franken-Note,,,,,,,,,10-Franken-Noten,,,,,,,,,10-Franken-Note,,,,,,,,,10-Franken-Noten,,,,,,,,
10-Franken-Schein,Substantiv,m,,,,,10-Franken-Schein,,,,,,,,,10-Franken-Scheine,,,,,,,,,10-Franken-Scheines,10-Franken-Scheins,,,,,,,,10-Franken-Scheine,,,,,,,,,10-Franken-Schein,10-Franken-Scheine,,,,,,,,10-Franken-Scheinen,,,,,,,,,10-Franken-Schein,,,,,,,,,10-Franken-Scheine,,,,,,,,
10-Mark-Schein,Substantiv,m,,,,,10-Mark-Schein,,,,,,,,,10-Mark-Scheine,,,,,,,,,10-Mark-Scheines,10-Mark-Scheins,,,,,,,,10-Mark-Scheine,,,,,,,,,10-Mark-Schein,10-Mark-Scheine,,,,,,,,10-Mark-Scheinen,,,,,,,,,10-Mark-Schein,,,,,,,,,10-Mark-Scheine,,,,,,,,
10-Meter-Brett,Substantiv,n,,,,,10-Meter-Brett,,,,,,,,,10-Meter-Bretter,,,,,,,,,10-Meter-Brettes,10-Meter-Bretts,,,,,,,,10-Meter-Bretter,,,,,,,,,10-Meter-Brett,10-Meter-Brette,,,,,,,,10-Meter-Brettern,,,,,,,,,10-Meter-Brett,,,,,,,,,10-Meter-Bretter,,,,,,,,
10-Pfennig-Stück,Substantiv,n,,,,,10-Pfennig-Stück,,,,,,,,,10-Pfennig-Stücke,,,,,,,,,10-Pfennig-Stückes,10-Pfennig-Stücks,,,,,,,,10-Pfennig-Stücke,,,,,,,,,10-Pfennig-Stück,10-Pfennig-Stücke,,,,,,,,10-Pfennig-Stücken,,,,,,,,,10-Pfennig-Stück,,,,,,,,,10-Pfennig-Stücke,,,,,,,,
10-Uhr-Vorstellung,Substantiv,f,,,,,10-Uhr-Vorstellung,,,,,,,,,10-Uhr-Vorstellungen,,,,,,,,,10-Uhr-Vorstellung,,,,,,,,,10-Uhr-Vorstellungen,,,,,,,,,10-Uhr-Vorstellung,,,,,,,,,10-Uhr-Vorstellungen,,,,,,,,,10-Uhr-Vorstellung,,,,,,,,,10-Uhr-Vorstellungen,,,,,,,,
10-Uhr-Zug,Substantiv,m,,,,,10-Uhr-Zug,,,,,,,,,10-Uhr-Züge,,,,,,,,,10-Uhr-Zuges,10-Uhr-Zugs,,,,,,,,10-Uhr-Züge,,,,,,,,,10-Uhr-Zug,10-Uhr-Zuge,,,,,,,,10-Uhr-Zügen,,,,,,,,,10-Uhr-Zug,,,,,,,,,10-Uhr-Züge,,,,,,,,
10-m-Brett,Substantiv,n,,,,,10-m-Brett,,,,,,,,,10-m-Bretter,,,,,,,,,10-m-Brettes,10-m-Bretts,,,,,,,,10-m-Bretter,,,,,,,,,10-m-Brett,10-m-Brette,,,,,,,,10-m-Brettern,,,,,,,,,10-m-Brett,,,,,,,,,10-m-Bretter,,,,,,,,
100-Euro-Schein,Substantiv,m,,,,,100-Euro-Schein,,,,,,,,,100-Euro-Scheine,,,,,,,,,100-Euro-Scheines,100-Euro-Scheins,,,,,,,,100-Euro-Scheine,,,,,,,,,100-Euro-Schein,100-Euro-Scheine,,,,,,,,100-Euro-Scheinen,,,,,,,,,100-Euro-Schein,,,,,,,,,100-Euro-Scheine,,,,,,,,
100-Franken-Note,Substantiv,f,,,,,100-Franken-Note,,,,,,,,,100-Franken-Noten,,,,,,,,,100-Franken-Note,,,,,,,,,100-Franken-Noten,,,,,,,,,100-Franken-Note,,,,,,,,,100-Franken-Noten,,,,,,,,,100-Franken-Note,,,,,,,,,100-Franken-Noten,,,,,,,,
100-Franken-Schein,Substantiv,m,,,,,100-Franken-Schein,,,,,,,,,100-Franken-Scheine,,,,,,,,,100-Franken-Scheines,100-Franken-Scheins,,,,,,,,100-Franken-Scheine,,,,,,,,,100-Franken-Schein,100-Franken-Scheine,,,,,,,,100-Franken-Scheinen,,,,,,,,,100-Franken-Schein,,,,,,,,,100-Franken-Scheine,,,,,,,,
100-Mark-Schein,Substantiv,m,,,,,100-Mark-Schein,,,,,,,,,100-Mark-Scheine,,,,,,,,,100-Mark-Scheines,100-Mark-Scheins,,,,,,,,100-Mark-Scheine,,,,,,,,,100-Mark-Schein,100-Mark-Scheine,,,,,,,,100-Mark-Scheinen,,,,,,,,,100-Mark-Schein,,,,,,,,,100-Mark-Scheine,,,,,,,,
100-Meter-Hürdenlauf,Substantiv,m,,,,,100-Meter-Hürdenlauf,,,,,,,,,100-Meter-Hürdenläufe,,,,,,,,,100-Meter-Hürdenlaufs,100-Meter-Hürdenlaufes,,,,,,,,100-Meter-Hürdenläufe,,,,,,,,,100-Meter-Hürdenlauf,,,,,,,,,100-Meter-Hürdenläufen,,,,,,,,,100-Meter-Hürdenlauf,,,,,,,,,100-Meter-Hürdenläufe,,,,,,,,
100-Meter-Lauf,Substantiv,m,,,,,100-Meter-Lauf,,,,,,,,,100-Meter-Läufe,,,,,,,,,100-Meter-Laufs,100-Meter-Laufes,,,,,,,,100-Meter-Läufe,,,,,,,,,100-Meter-Lauf,,,,,,,,,100-Meter-Läufen,,,,,,,,,100-Meter-Lauf,,,,,,,,,100-Meter-Läufe,,,,,,,,
100-Watt-Glühbirne,Substantiv,f,,,,,100-Watt-Glühbirne,,,,,,,,,100-Watt-Glühbirnen,,,,,,,,,100-Watt-Glühbirne,,,,,,,,,100-Watt-Glühbirnen,,,,,,,,,100-Watt-Glühbirne,,,,,,,,,100-Watt-Glühbirnen,,,,,,,,,100-Watt-Glühbirne,,,,,,,,,100-Watt-Glühbirnen,,,,,,,,
100-m-Hürdenlauf,Substantiv,m,,,,,100-m-Hürdenlauf,,,,,,,,,100-m-Hürdenläufe,,,,,,,,,100-m-Hürdenlaufs,100-m-Hürdenlaufes,,,,,,,,100-m-Hürdenläufe,,,,,,,,,100-m-Hürdenlauf,,,,,,,,,100-m-Hürdenläufen,,,,,,,,,100-m-Hürdenlauf,,,,,,,,,100-m-Hürdenläufe,,,,,,,,
100-m-Lauf,Substantiv,m,,,,,100-m-Lauf,,,,,,,,,100-m-Läufe,,,,,,,,,100-m-Laufs,100-m-Laufes,,,,,,,,100-m-Läufe,,,,,,,,,100-m-Lauf,,,,,,,,,100-m-Läufen,,,,,,,,,100-m-Lauf,,,,,,,,,100-m-Läufe,,,,,,,,
1000-Franken-Note,Substantiv,f,,,,,1000-Franken-Note,,,,,,,,,1000-Franken-Noten,,,,,,,,,1000-Franken-Note,,,,,,,,,1000-Franken-Noten,,,,,,,,,1000-Franken-Note,,,,,,,,,1000-Franken-Noten,,,,,,,,,1000-Franken-Note,,,,,,,,,1000-Franken-Noten,,,,,,,,
1000-Franken-Schein,Substantiv,m,,,,,1000-Franken-Schein,,,,,,,,,1000-Franken-Scheine,,,,,,,,,1000-Franken-Scheines,1000-Franken-Scheins,,,,,,,,1000-Franken-Scheine,,,,,,,,,1000-Franken-Schein,1000-Franken-Scheine,,,,,,,,1000-Franken-Scheinen,,,,,,,,,1000-Franken-Schein,,,,,,,,,1000-Franken-Scheine,,,,,,,,
1000-Mark-Schein,Substantiv,m,,,,,1000-Mark-Schein,,,,,,,,,1000-Mark-Scheine,,,,,,,,,1000-Mark-Scheines,1000-Mark-Scheins,,,,,,,,1000-Mark-Scheine,,,,,,,,,1000-Mark-Schein,1000-Mark-Scheine,,,,,,,,1000-Mark-Scheinen,,,,,,,,,1000-Mark-Schein,,,,,,,,,1000-Mark-Scheine,,,,,,,,
102-Jährige,"Substantiv,adjektivische Deklination",f,,,,,,,,,,,102-Jährige,102-Jährige,102-Jährige,,,,,,,102-Jährige,102-Jährigen,102-Jährige,,,,,,,102-Jähriger,102-Jährigen,102-Jährigen,,,,,,,102-Jähriger,102-Jährigen,102-Jährigen,,,,,,,102-Jähriger,102-Jährigen,102-Jährigen,,,,,,,102-Jährigen,102-Jährigen,102-Jährigen,,,,,,,102-Jährige,102-Jährige,102-Jährige,,,,,,,102-Jährige,102-Jährigen,102-Jährige
102-Jähriger,"Substantiv,adjektivische Deklination",m,,,,,,,,,,,102-Jähriger,102-Jährige,102-Jähriger,,,,,,,102-Jährige,102-Jährigen,102-Jährige,,,,,,,102-Jährigen,102-Jährigen,102-Jährigen,,,,,,,102-Jähriger,102-Jährigen,102-Jährigen,,,,,,,102-Jährigem,102-Jährigen,102-Jährigen,,,,,,,102-Jährigen,102-Jährigen,102-Jährigen,,,,,,,102-Jährigen,102-Jährigen,102-Jährigen,,,,,,,102-Jährige,102-Jährigen,102-Jährige
11. September,"Substantiv,Wortverbindung",m,,,,,11. September,,,,,,,,,,,,,,,,,,11. Septembers,,,,,,,,,,,,,,,,,,11. September,,,,,,,,,,,,,,,,,,11. September,,,,,,,,,,,,,,,,,
110-Meter-Hürdenlauf,Substantiv,m,,,,,110-Meter-Hürdenlauf,,,,,,,,,110-Meter-Hürdenläufe,,,,,,,,,110-Meter-Hürdenlaufs,110-Meter-Hürdenlaufes,,,,,,,,110-Meter-Hürdenläufe,,,,,,,,,110-Meter-Hürdenlauf,,,,,,,,,110-Meter-Hürdenläufen,,,,,,,,,110-Meter-Hürdenlauf,,,,,,,,,110-Meter-Hürdenläufe,,,,,,,,
110-m-Hürdenlauf,Substantiv,m,,,,,110-m-Hürdenlauf,,,,,,,,,110-m-Hürdenläufe,,,,,,,,,110-m-Hürdenlaufs,110-m-Hürdenlaufes,,,,,,,,110-m-Hürdenläufe,,,,,,,,,110-m-Hürdenlauf,,,,,,,,,110-m-Hürdenläufen,,,,,,,,,110-m-Hürdenlauf,,,,,,,,,110-m-Hürdenläufe,,,,,,,,
1G-Regel,Substantiv,f,,,,,1G-Regel,,,,,,,,,1G-Regeln,,,,,,,,,1G-Regel,,,,,,,,,1G-Regeln,,,,,,,,,1G-Regel,,,,,,,,,1G-Regeln,,,,,,,,,1G-Regel,,,,,,,,,1G-Regeln,,,,,,,,
"2,3,4,5,6-Pentahydroxyhexansäure",Substantiv,f,,,,,"2,3,4,5,6-Pentahydroxyhexansäure",,,,,,,,,,,,,,,,,,"2,3,4,5,6-Pentahydroxyhexansäure",,,,,,,,,,,,,,,,,,"2,3,4,5,6-Pentahydroxyhexansäure",,,,,,,,,,,,,,,,,,"2,3,4,5,6-Pentahydroxyhexansäure",,,,,,,,,,,,,,,,,
"2,3-Dihydroxybernsteinsäure",Substantiv,f,,,,,"2,3-Dihydroxybernsteinsäure",,,,,,,,,,,,,,,,,,"2,3-Dihydroxybernsteinsäure",,,,,,,,,,,,,,,,,,"2,3-Dihydroxybernsteinsäure",,,,,,,,,,,,,,,,,,"2,3-Dihydroxybernsteinsäure",,,,,,,,,,,,,,,,,
"2,3-Dihydroxybutandisäure",Substantiv,f,,,,,"2,3-Dihydroxybutandisäure",,,,,,,,,,,,,,,,,,"2,3-Dihydroxybutandisäure",,,,,,,,,,,,,,,,,,"2,3-Dihydroxybutandisäure",,,,,,,,,,,,,,,,,,"2,3-Dihydroxybutandisäure",,,,,,,,,,,,,,,,,
"2,4,6-Trihydroxypyrimidin",Substantiv,n,,,,,"2,4,6-Trihydroxypyrimidin",,,,,,,,,,,,,,,,,,"2,4,6-Trihydroxypyrimidins",,,,,,,,,,,,,,,,,,"2,4,6-Trihydroxypyrimidin",,,,,,,,,,,,,,,,,,"2,4,6-Trihydroxypyrimidin",,,,,,,,,,,,,,,,,
"2,4,6-Trinitrophenol",Substantiv,n,,,,,"2,4,6-Trinitrophenol",,,,,,,,,,,,,,,,,,"2,4,6-Trinitrophenols",,,,,,,,,,,,,,,,,,"2,4,6-Trinitrophenol",,,,,,,,,,,,,,,,,,"2,4,6-Trinitrophenol",,,,,,,,,,,,,,,,,
"2,6,8-Trihydroxypurin",Substantiv,n,,,,,"2,6,8-Trihydroxypurin",,,,,,,,,,,,,,,,,,"2,6,8-Trihydroxypurins",,,,,,,,,,,,,,,,,,"2,6,8-Trihydroxypurin",,,,,,,,,,,,,,,,,,"2,6,8-Trihydroxypurin",,,,,,,,,,,,,,,,,
2-Acetoxybenzoesäure,Substantiv,f,,,,,2-Acetoxybenzoesäure,,,,,,,,,,,,,,,,,,2-Acetoxybenzoesäure,,,,,,,,,,,,,,,,,,2-Acetoxybenzoesäure,,,,,,,,,,,,,,,,,,2-Acetoxybenzoesäure,,,,,,,,,,,,,,,,,
2-Amino-3-methylbutansäure,Substantiv,f,,,,,2-Amino-3-methylbutansäure,,,,,,,,,,,,,,,,,,2-Amino-3-methylbutansäure,,,,,,,,,,,,,,,,,,2-Amino-3-methylbutansäure,,,,,,,,,,,,,,,,,,2-Amino-3-methylbutansäure,,,,,,,,,,,,,,,,,
2-Aminobutandisäure,Substantiv,f,,,,,2-Aminobutandisäure,,,,,,,,,,,,,,,,,,2-Aminobutandisäure,,,,,,,,,,,,,,,,,,2-Aminobutandisäure,,,,,,,,,,,,,,,,,,2-Aminobutandisäure,,,,,,,,,,,,,,,,,
2-Aminoisovaleriansäure,Substantiv,f,,,,,2-Aminoisovaleriansäure,,,,,,,,,,,,,,,,,,2-Aminoisovaleriansäure,,,,,,,,,,,,,,,,,,2-Aminoisovaleriansäure,,,,,,,,,,,,,,,,,,2-Aminoisovaleriansäure,,,,,,,,,,,,,,,,,
2-Butanon,Substantiv,n,,,,,2-Butanon,,,,,,,,,,,,,,,,,,2-Butanons,,,,,,,,,,,,,,,,,,2-Butanon,,,,,,,,,,,,,,,,,,2-Butanon,,,,,,,,,,,,,,,,,
2-Butin,Substantiv,n,,,,,2-Butin,,,,,,,,,,,,,,,,,,2-Butins,,,,,,,,,,,,,,,,,,2-Butin,,,,,,,,,,,,,,,,,,2-Butin,,,,,,,,,,,,,,,,,
2-Cent-Münze,Substantiv,f,,,,,2-Cent-Münze,,,,,,,,,2-Cent-Münzen,,,,,,,,,2-Cent-Münze,,,,,,,,,2-Cent-Münzen,,,,,,,,,2-Cent-Münze,,,,,,,,,2-Cent-Münzen,,,,,,,,,2-Cent-Münze,,,,,,,,,2-Cent-Münzen,,,,,,,,
2-Cent-Stück,Substantiv,n,,,,,2-Cent-Stück,,,,,,,,,2-Cent-Stücke,,,,,,,,,2-Cent-Stückes,2-Cent-Stücks,,,,,,,,2-Cent-Stücke,,,,,,,,,2-Cent-Stück,2-Cent-Stücke,,,,,,,,2-Cent-Stücken,,,,,,,,,2-Cent-Stück,,,,,,,,,2-Cent-Stücke,,,,,,,,
2-Euro-Münze,Substantiv,f,,,,,2-Euro-Münze,,,,,,,,,2-Euro-Münzen,,,,,,,,,2-Euro-Münze,,,,,,,,,2-Euro-Münzen,,,,,,,,,2-Euro-Münze,,,,,,,,,2-Euro-Münzen,,,,,,,,,2-Euro-Münze,,,,,,,,,2-Euro-Münzen,,,,,,,,
2-Euro-Stück,Substantiv,n,,,,,2-Euro-Stück,,,,,,,,,2-Euro-Stücke,,,,,,,,,2-Euro-Stückes,2-Euro-Stücks,,,,,,,,2-Euro-Stücke,,,,,,,,,2-Euro-Stück,2-Euro-Stücke,,,,,,,,2-Euro-Stücken,,,,,,,,,2-Euro-Stück,,,,,,,,,2-Euro-Stücke,,,,,,,,
2-Hexanol,Substantiv,n,,,,,2-Hexanol,,,,,,,,,,,,,,,,,,2-Hexanols,,,,,,,,,,,,,,,,,,2-Hexanol,,,,,,,,,,,,,,,,,,2-Hexanol,,,,,,,,,,,,,,,,,
2-Hydroxybenzoesäure,Substantiv,f,,,,,2-Hydroxybenzoesäure,,,,,,,,,,,,,,,,,,2-Hydroxybenzoesäure,,,,,,,,,,,,,,,,,,2-Hydroxybenzoesäure,,,,,,,,,,,,,,,,,,2-Hydroxybenzoesäure,,,,,,,,,,,,,,,,,
2-Hydroxypropansäure,Substantiv,f,,,,,2-Hydroxypropansäure,,,,,,,,,,,,,,,,,,2-Hydroxypropansäure,,,,,,,,,,,,,,,,,,2-Hydroxypropansäure,,,,,,,,,,,,,,,,,,2-Hydroxypropansäure,,,,,,,,,,,,,,,,,
2-Mark-Schein,Substantiv,m,,,,,2-Mark-Schein,,,,,,,,,2-Mark-Scheine,,,,,,,,,2-Mark-Scheines,2-Mark-Scheins,,,,,,,,2-Mark-Scheine,,,,,,,,,2-Mark-Schein,2-Mark-Scheine,,,,,,,,2-Mark-Scheinen,,,,,,,,,2-Mark-Schein,,,,,,,,,2-Mark-Scheine,,,,,,,,
2-Meter-Mann,Substantiv,m,,,,,2-Meter-Mann,,,,,,,,,2-Meter-Männer,,,,,,,,,2-Meter-Manns,2-Meter-Mannes,,,,,,,,2-Meter-Männer,,,,,,,,,2-Meter-Mann,,,,,,,,,2-Meter-Männern,,,,,,,,,2-Meter-Mann,,,,,,,,,2-Meter-Männer,,,,,,,,
2-Methyl-1-propanol,Substantiv,n,,,,,2-Methyl-1-propanol,,,,,,,,,,,,,,,,,,2-Methyl-1-propanols,,,,,,,,,,,,,,,,,,2-Methyl-1-propanol,,,,,,,,,,,,,,,,,,2-Methyl-1-propanol,,,,,,,,,,,,,,,,,
2-Methyl-2-propanol,Substantiv,n,,,,,2-Methyl-2-propanol,,,,,,,,,,,,,,,,,,2-Methyl-2-propanols,,,,,,,,,,,,,,,,,,2-Methyl-2-propanol,,,,,,,,,,,,,,,,,,2-Methyl-2-propanol,,,,,,,,,,,,,,,,,
2-Oxopropansäure,Substantiv,f,,,,,2-Oxopropansäure,,,,,,,,,,,,,,,,,,2-Oxopropansäure,,,,,,,,,,,,,,,,,,2-Oxopropansäure,,,,,,,,,,,,,,,,,,2-Oxopropansäure,,,,,,,,,,,,,,,,,
2-Propanol,Substantiv,n,,,,,2-Propanol,,,,,,,,,,,,,,,,,,2-Propanols,,,,,,,,,,,,,,,,,,2-Propanol,,,,,,,,,,,,,,,,,,2-Propanol,,,,,,,,,,,,,,,,,
2-Propen-1-ol,Substantiv,n,,,,,2-Propen-1-ol,,,,,,,,,,,,,,,,,,2-Propen-1-ols,,,,,,,,,,,,,,,,,,2-Propen-1-ol,,,,,,,,,,,,,,,,,,2-Propen-1-ol,,,,,,,,,,,,,,,,,
2-Propenal,Substantiv,n,,,,,2-Propenal,,,,,,,,,,,,,,,,,,2-Propenals,,,,,,,,,,,,,,,,,,2-Propenal,,,,,,,,,,,,,,,,,,2-Propenal,,,,,,,,,,,,,,,,,
2-Propenol,Substantiv,n,,,,,2-Propenol,,,,,,,,,,,,,,,,,,2-Propenols,,,,,,,,,,,,,,,,,,2-Propenol,,,,,,,,,,,,,,,,,,2-Propenol,,,,,,,,,,,,,,,,,
2-Zimmer-Wohnung,Substantiv,f,,,,,2-Zimmer-Wohnung,,,,,,,,,2-Zimmer-Wohnungen,,,,,,,,,2-Zimmer-Wohnung,,,,,,,,,2-Zimmer-Wohnungen,,,,,,,,,2-Zimmer-Wohnung,,,,,,,,,2-Zimmer-Wohnungen,,,,,,,,,2-Zimmer-Wohnung,,,,,,,,,2-Zimmer-Wohnungen,,,,,,,,
2. Johannesbrief,"Substantiv,Wortverbindung,adjektivische Deklination",m,,,,,,,,,,,2. Johannesbrief,2. Johannesbrief,2. Johannesbrief,,,,,,,,,,,,,,,,2. Johannesbriefes,2. Johannesbriefes,2. Johannesbriefes,,,,,,,,,,,,,,,,2. Johannesbrief,2. Johannesbrief,2. Johannesbrief,,,,,,,,,,,,,,,,2. Johannesbrief,2. Johannesbrief,2. Johannesbrief,,,,,,,,,
2. Korintherbrief,"Substantiv,Wortverbindung",m,,,,,2. Korintherbrief,,,,,,,,,,,,,,,,,,2. Korintherbriefs,2. Korintherbriefes,,,,,,,,,,,,,,,,,2. Korintherbrief,,,,,,,,,,,,,,,,,,2. Korintherbrief,,,,,,,,,,,,,,,,,
2. Petrusbrief,"Substantiv,Wortverbindung,adjektivische Deklination",m,,,,,,,,,,,2. Petrusbrief,2. Petrusbrief,2. Petrusbrief,,,,,,,,,,,,,,,,2. Petrusbriefes,2. Petrusbriefes,2. Petrusbriefes,,,,,,,,,,,,,,,,2. Petrusbrief,2. Petrusbrief,2. Petrusbrief,,,,,,,,,,,,,,,,2. Petrusbrief,2. Petrusbrief,2. Petrusbrief,,,,,,,,,
2. Thessalonicherbrief,"Substantiv,Wortverbindung,adjektivische Deklination",m,,,,,,,,,,,2. Thessalonicherbrief,2. Thessalonicherbrief,2. Thessalonicherbrief,,,,,,,,,,,,,,,,2. Thessalonicherbriefes,2. Thessalonicherbriefes,2. Thessalonicherbriefes,,,,,,,,,,,,,,,,2. Thessalonicherbrief,2. Thessalonicherbrief,2. Thessalonicherbrief,,,,,,,,,,,,,,,,2. Thessalonicherbrief,2. Thessalonicherbrief,2. Thessalonicherbrief,,,,,,,,,
2. Timotheusbrief,"Substantiv,Wortverbindung,adjektivische Deklination",m,,,,,,,,,,,2. Timotheusbrief,2. Timotheusbrief,2. Timotheusbrief,,,,,,,,,,,,,,,,2. Timotheusbriefes,2. Timotheusbriefes,2. Timotheusbriefes,,,,,,,,,,,,,,,,2. Timotheusbrief,2. Timotheusbrief,2. Timotheusbrief,,,,,,,,,,,,,,,,2. Timotheusbrief,2. Timotheusbrief,2. Timotheusbrief,,,,,,,,,
2. Weltkrieg,"Substantiv,Wortverbindung",m,,,,,2. Weltkrieg,,,,,,,,,,,,,,,,,,2. Weltkrieges,2. Weltkriegs,,,,,,,,,,,,,,,,,2. Weltkrieg,,,,,,,,,,,,,,,,,,2. Weltkrieg,,,,,,,,,,,,,,,,,
20-Cent-Münze,Substantiv,f,,,,,20-Cent-Münze,,,,,,,,,20-Cent-Münzen,,,,,,,,,20-Cent-Münze,,,,,,,,,20-Cent-Münzen,,,,,,,,,20-Cent-Münze,,,,,,,,,20-Cent-Münzen,,,,,,,,,20-Cent-Münze,,,,,,,,,20-Cent-Münzen,,,,,,,,
20-Cent-Stück,Substantiv,n,,,,,20-Cent-Stück,,,,,,,,,20-Cent-Stücke,,,,,,,,,20-Cent-Stückes,20-Cent-Stücks,,,,,,,,20-Cent-Stücke,,,,,,,,,20-Cent-Stück,20-Cent-Stücke,,,,,,,,20-Cent-Stücken,,,,,,,,,20-Cent-Stück,,,,,,,,,20-Cent-Stücke,,,,,,,,
20-DM-Schein,Substantiv,m,,,,,20-DM-Schein,,,,,,,,,20-DM-Scheine,,,,,,,,,20-DM-Scheines,20-DM-Scheins,,,,,,,,20-DM-Scheine,,,,,,,,,20-DM-Schein,20-DM-Scheine,,,,,,,,20-DM-Scheinen,,,,,,,,,20-DM-Schein,,,,,,,,,20-DM-Scheine,,,,,,,,
20-Euro-Schein,Substantiv,m,,,,,20-Euro-Schein,,,,,,,,,20-Euro-Scheine,,,,,,,,,20-Euro-Scheines,20-Euro-Scheins,,,,,,,,20-Euro-Scheine,,,,,,,,,20-Euro-Schein,20-Euro-Scheine,,,,,,,,20-Euro-Scheinen,,,,,,,,,20-Euro-Schein,,,,,,,,,20-Euro-Scheine,,,,,,,,
20-Franken-Note,Substantiv,f,,,,,20-Franken-Note,,,,,,,,,20-Franken-Noten,,,,,,,,,20-Franken-Note,,,,,,,,,20-Franken-Noten,,,,,,,,,20-Franken-Note,,,,,,,,,20-Franken-Noten,,,,,,,,,20-Franken-Note,,,,,,,,,20-Franken-Noten,,,,,,,,
20-Franken-Schein,Substantiv,m,,,,,20-Franken-Schein,,,,,,,,,20-Franken-Scheine,,,,,,,,,20-Franken-Scheines,20-Franken-Scheins,,,,,,,,20-Franken-Scheine,,,,,,,,,20-Franken-Schein,20-Franken-Scheine,,,,,,,,20-Franken-Scheinen,,,,,,,,,20-Franken-Schein,,,,,,,,,20-Franken-Scheine,,,,,,,,
20-Mark-Schein,Substantiv,m,,,,,20-Mark-Schein,,,,,,,,,20-Mark-Scheine,,,,,,,,,20-Mark-Scheines,20-Mark-Scheins,,,,,,,,20-Mark-Scheine,,,,,,,,,20-Mark-Schein,20-Mark-Scheine,,,,,,,,20-Mark-Scheinen,,,,,,,,,20-Mark-Schein,,,,,,,,,20-Mark-Scheine,,,,,,,,
200-Euro-Schein,Substantiv,m,,,,,200-Euro-Schein,,,,,,,,,200-Euro-Scheine,,,,,,,,,200-Euro-Scheines,200-Euro-Scheins,,,,,,,,200-Euro-Scheine,,,,,,,,,200-Euro-Schein,200-Euro-Scheine,,,,,,,,200-Euro-Scheinen,,,,,,,,,200-Euro-Schein,,,,,,,,,200-Euro-Scheine,,,,,,,,
