lemma,pos,genus,genus 1,genus 2,genus 3,genus 4,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
"0,75-Liter-Flasche",Substantiv,f,,,,,"0,75-Liter-Flasche",,,,,,,,,"0,75-Liter-Flaschen",,,,,,,,,"0,75-Liter-Flasche",,,,,,,,,"0,75-Liter-Flaschen",,,,,,,,,"0,75-Liter-Flasche",,,,,,,,,"0,75-Liter-Flaschen",,,,,,,,,"0,75-Liter-Flasche",,,,,,,,,"0,75-Liter-Flaschen",,,,,,,,
"1,2,3-Propentricarbonsäure",Substantiv,f,,,,,"1,2,3-Propentricarbonsäure",,,,,,,,,,,,,,,,,,"1,2,3-Propentricarbonsäure",,,,,,,,,,,,,,,,,,"1,2,3-Propentricarbonsäure",,,,,,,,,,,,,,,,,,"1,2,3-Propentricarbonsäure",,,,,,,,,,,,,,,,,
"1,2-Benzoldicarbonsäure",Substantiv,f,,,,,"1,2-Benzoldicarbonsäure",,,,,,,,,,,,,,,,,,"1,2-Benzoldicarbonsäure",,,,,,,,,,,,,,,,,,"1,2-Benzoldicarbonsäure",,,,,,,,,,,,,,,,,,"1,2-Benzoldicarbonsäure",,,,,,,,,,,,,,,,,
"1,2-Butandiol",Substantiv,n,,,,,"1,2-Butandiol",,,,,,,,,,,,,,,,,,"1,2-Butandiols",,,,,,,,,,,,,,,,,,"1,2-Butandiol",,,,,,,,,,,,,,,,,,"1,2-Butandiol",,,,,,,,,,,,,,,,,
"1,2-Dihydroxypropan",Substantiv,n,,,,,"1,2-Dihydroxypropan",,,,,,,,,,,,,,,,,,"1,2-Dihydroxypropans",,,,,,,,,,,,,,,,,,"1,2-Dihydroxypropan",,,,,,,,,,,,,,,,,,"1,2-Dihydroxypropan",,,,,,,,,,,,,,,,,
"1,2-Propandiol",Substantiv,n,,,,,"1,2-Propandiol",,,,,,,,,,,,,,,,,,"1,2-Propandiols",,,,,,,,,,,,,,,,,,"1,2-Propandiol",,,,,,,,,,,,,,,,,,"1,2-Propandiol",,,,,,,,,,,,,,,,,
"1,2-Propylenglycol",Substantiv,n,,,,,"1,2-Propylenglycol",,,,,,,,,,,,,,,,,,"1,2-Propylenglycols",,,,,,,,,,,,,,,,,,"1,2-Propylenglycol",,,,,,,,,,,,,,,,,,"1,2-Propylenglycol",,,,,,,,,,,,,,,,,
"1,4-Benzoldicarbonsäure",Substantiv,f,,,,,"1,4-Benzoldicarbonsäure",,,,,,,,,,,,,,,,,,"1,4-Benzoldicarbonsäure",,,,,,,,,,,,,,,,,,"1,4-Benzoldicarbonsäure",,,,,,,,,,,,,,,,,,"1,4-Benzoldicarbonsäure",,,,,,,,,,,,,,,,,
"1,4-Butandiol",Substantiv,n,,,,,"1,4-Butandiol",,,,,,,,,,,,,,,,,,"1,4-Butandiols",,,,,,,,,,,,,,,,,,"1,4-Butandiol",,,,,,,,,,,,,,,,,,"1,4-Butandiol",,,,,,,,,,,,,,,,,
"1,5-Grad-Ziel",Substantiv,n,,,,,"1,5-Grad-Ziel",,,,,,,,,,,,,,,,,,"1,5-Grad-Ziels","1,5-Grad-Zieles",,,,,,,,,,,,,,,,,"1,5-Grad-Ziel",,,,,,,,,,,,,,,,,,"1,5-Grad-Ziel",,,,,,,,,,,,,,,,,
"1,6-Liter-Benziner",Substantiv,m,,,,,"1,6-Liter-Benziner",,,,,,,,,"1,6-Liter-Benziner",,,,,,,,,"1,6-Liter-Benziners",,,,,,,,,"1,6-Liter-Benziner",,,,,,,,,"1,6-Liter-Benziner",,,,,,,,,"1,6-Liter-Benzinern",,,,,,,,,"1,6-Liter-Benziner",,,,,,,,,"1,6-Liter-Benziner",,,,,,,,
1-Benzolethansäure,Substantiv,f,,,,,1-Benzolethansäure,,,,,,,,,,,,,,,,,,1-Benzolethansäure,,,,,,,,,,,,,,,,,,1-Benzolethansäure,,,,,,,,,,,,,,,,,,1-Benzolethansäure,,,,,,,,,,,,,,,,,
1-Butanol,Substantiv,n,,,,,1-Butanol,,,,,,,,,,,,,,,,,,1-Butanols,,,,,,,,,,,,,,,,,,1-Butanol,,,,,,,,,,,,,,,,,,1-Butanol,,,,,,,,,,,,,,,,,
